dataset,Column name,data_type,Description,value,Notes.x,Notes.y
Farmington_PFAS_Survey_Datarelease.csv,coc,numeric,Chain of custody number associated with analytical instrument run,"220063, 200155, 200358, 210320, 200322, 210303, 210391, 210289, 210373, 210392",NA,NA
Farmington_PFAS_Survey_Datarelease.csv,cese_id,character,Sample identification assigned by analytical lab,"220063-001, 220063-002, 220063-003, 220063-004, 220063-005, 220063-006, 220063-007, 220063-008, 220063-009, 220063-010, 220063-011, 220063-012, 220063-013, 220063-014, 220063-015, 220063-016, 220063-017, 220063-018, 220063-019, 220063-020, 220063-021, 220063-022, 220063-023, 220063-024, 220063-025, 220063-026, 220063-027, 220063-028, 220063-029, 220063-030, 220063-031, 220063-032, 220063-033, 220063-034, 220063-035, 220063-036, 220063-037, 220063-038, 220063-039, 200155-001, 200155-002, 200155-003, 200155-004, 200155-005, 200155-012, 200358-001, 200358-002, 200358-003, 200358-004, 200358-005, 200358-006, 200358-007, 200358-008, 200358-009, 200358-010, 200358-011, 200358-012, 210320-012, 210320-013, 210320-015, 210320-016, 210320-017, 210320-018, 200322-001, 200322-002, 200322-003, 200322-004, 200322-005, 200322-006, 200322-007, 210303-002, 210303-004, 210303-005, 210303-006, 210303-009, 200322-008, 200322-009, 210391-008, 210289-012, 210289-013, 210289-014, 210289-015, 210289-017, 210289-018, 210289-019, 210289-020, 210303-013, 210303-014, 210391-005, 210391-006, 210289-002, 210289-004, 210289-005, 210289-006, 210289-008, 210289-009, 210289-010, 200155-006, 200155-007, 200155-008, 200155-009, 200155-010, 200155-011, 200358-013, 200358-014, 200358-015, 200358-016, 200358-017, 200358-018, 200358-019, 200358-020, 210320-002, 210320-004, 210320-005, 210320-006, 210320-009, 210391-002, 210303-016, 210303-018, 210373-012, 210373-013, 210373-015, 210373-016, 210373-017, 210373-018, 210392-011, 210392-013, 210392-014, 210392-015, 210392-018, 210392-019, 210373-002, 210373-004, 210373-005, 210373-006, 210373-009, 210392-002, 210392-004, 210392-005, 210392-008, 210392-009, 210320-019, 210303-008, 210391-010, 210289-011, 210303-012, 210289-003, 210320-008, 210391-004, 210303-019, 210373-019, 210392-017, 210373-008, 210392-007",NA,NA
Farmington_PFAS_Survey_Datarelease.csv,field_id,character,Sample identification assigned in field by research staff,"FB1, HOP2.1, HOP2.2, HOP2.3, HOP3.1, HOP3.2, HOP3.3, SAND2.1, SAND2.2, SAND2.3, SAND3.1, SAND3.2, SAND3.3, FREE2.1, FREE2.2, FREE2.3, FREE3.1, FREE3.2, FREE3.3, FB2, BIRG2.1, BIRG2.2, BIRG2.3, BIRG3.1, BIRG3.2, BIRG3.3, PAGE2.1, PAGE2.2, PAGE2.3, PAGE3.1, PAGE3.2, PAGE3.3, CHILD2.1, CHILD2.2, CHILD2.3, CHILD3.1, CHILD3.2, CHILD3.3, FB3, ALSO1, ALSO5, ALSO8, ALSO11, ALSO16, ALSO19, ALSO1.2, ALSO2.2, ALSO3.2, ALSO4.2, ALSO5.2, ALSO7.2, ALSO8.2, ALSO10.2, ALSO11.2, ALSO14.2, ALSO16.2, ALSO19.2, BUNN1.1, BUNN1.2, BUNN1.3, BUNN1.4, BUNN1.5, BUNN1.6, BURL1, BURL2, BURL3, BURL4, BURL5, BURL6, BURL7, HAWL1.1, HAWL1.2, HAWL1.3, HAWL1.4, HAWL1.5, AVON1, AVON2, MUNN1.1, PEQU1.1, PEQU1.2, PEQU1.3, PEQU1.4, PEQU1.5, PEQU1.6, PEQU1.7, PEQU1.8, POWD1.1, POWD1.2, POWD1.3, POWD1.4, QUAR1.1, QUAR1.2, QUAR1.3, QUAR1.4, QUAR1.5, QUAR1.6, QUAR1.7, RAIN26, RAIN28, RAIN30, RAIN31, RAIN35, RAIN38, RAIN26.2, RAIN27.2, RAIN28.2, RAIN30.2, RAIN31.2, RAIN33.2, RAIN35.2, RAIN38.2, RATL1.1, RATL1.2, RATL1.3, RATL1.4, RATL1.5, ROAR1.1, RUSS1.1, RUSS1.2, STRA1.1, STRA1.2, STRA1.3, STRA1.4, STRA1.5, STRA1.6, STRA4.1, STRA4.2, STRA4.3, STRA4.4, STRA4.5, STRA4.6, THOM1.1, THOM1.2, THOM1.3, THOM1.4, THOM1.5, WSAL1.1, WSAL1.2, WSAL1.3, WSAL1.4, WSAL1.5, BUNN3.1, HAWL3.1, MUNN3.1, PEQU2.1, POWD3.1, QUAR2.1, RATL3.1, ROAR3.1, RUSS3.1, STRA3.1, STRA6.1, THOM3.1, WSAL3.1",NA,NA
Farmington_PFAS_Survey_Datarelease.csv,site,character,Name of sampling site,"Field blank, Hop Brook, Sandy Brook, Freeman Hill Brook, Birge Pond Brook, Page Park Pond, Chidsey Brook, Alsop Meadows, Bunnell Brook, Hawley Brook, Munnisunk Brook, Pequabuck River, Powder Mill Brook, Quarry Brook, River Island, Ratlum Brook, Roaring Brook, Russell Brook, Stratton Brook A, Stratton Brook B, Thomspon Brook, West Branch Salmon Brook",NA,NA
Farmington_PFAS_Survey_Datarelease.csv,sample_type,character,Type of sample,"Field blank, Water, Groundwater",NA,NA
Farmington_PFAS_Survey_Datarelease.csv,collected,character,Date of sample collection in the field,"4/5/22, 7/24/20, 10/27/20, 8/26/21, 10/1/20, 8/10/21, 9/19/21, 7/28/21, 7/27/21, 10/28/20, 9/15/21, 9/20/21, 9/13/21",NA,NA
Farmington_PFAS_Survey_Datarelease.csv,received,character,Date sample received by the analytical lab,"4/14/22, 7/27/20, 10/29/20, 8/27/21, 10/6/20, 8/13/21, 9/23/21, 8/9/21, 9/16/21, 9/20/21, 9/23/23",NA,NA
Farmington_PFAS_Survey_Datarelease.csv,prep_date,character,Date sample prepared for analysis,"4/18/22, 8/6/20, 11/9/20, 9/3/21, 10/16/20, 8/23/21, 10/12/21, 8/11/21",NA,NA
Farmington_PFAS_Survey_Datarelease.csv,analysis_date,character,Date sample analyzed,"4/22/22, 8/6/20, 11/17/20, 9/27/21, 10/23/20, 8/30/21, 10/12/21",NA,NA
Farmington_PFAS_Survey_Datarelease.csv,units,character,Concentration units,ng/mL,nanogram per milliliter,nanogram per milliliter
Farmington_PFAS_Survey_Datarelease.csv,compound,character,Name of PFAS compound,"PFBS, PFHxA, PFHpA, PFHxS, PFOA, PFNA, PFOS, PFDA, NMeFOSAA, NEtFOSAA, PFUnA, PFDoA, PFTrDA, PFTA",NA,NA
Farmington_PFAS_Survey_Datarelease.csv,conc,character,Concentration measured,"ND, 0.0024, 0.003, 0.0179, 0.0046, 0.0025, 0.0026, 0.0297, 0.0035, 0.0105, 0.0027, 0.0091, 0.0313, 0.0224, 0.0085, 0.0028, 0.0029, 0.0031, 0.0146, 0.0205, na, 0.0032, 0.0034, 0.0033, 0.0036, 0.0051, 0.004, 0.0127, 0.0048, 0.0168, 0.0044, 0.0094, 0.0045, 0.0042, 0.0039, 0.0059, 0.0075, 0.0055, 0.0038, 0.0062, 0.0022, 0.0043, 0.0073, 0.0066, 0.0018, 0.35, 0.0056, 0.0126, 0.026, 0.19, 0.175, 0.0037, 0.117, 0.0093, 0.0102, 0.0089, 0.0107, 0.015, 0.0256, 0.0088, 0.164, 0.143, 0.0084, 0.144, 0.0108, 0.008, 0.002, 0.009, 0.051, 0.0057, 0.0106, 0.052, 0.029, 0.118, 0.0152, 0.005, 0.007, 0.028, 0.036, 0.014, 0.024, 0.145, 0.124, 0.0124, 0.006, 0.0052, 0.0136, 0.0096, 0.0128, 0.0076, 0.0068, 0.0164, 0.0148, 0.0116, 0.0132, 0.0144, 0.011, 0.023, 0.021, 0.113, 0.053, 0.0092","ND = not detected, NM = not measured, na = not available due to sample damage","ND = not detected, NM = not measured, na = not available due to sample damage"
Farmington_PFAS_Survey_Datarelease.csv,rl,numeric,Analytical reporting limit,"0.0021, 0.0026, 0.0018, 0.0032, 0.0036, 0.0023, 0.0046, 0.0024, 0.0028, 0.003, 0.0022, 0.0016",NA,NA
SiteLocations.csv,Latitude,numeric,NA,"41.76796, 41.84157, 41.76006, 41.91563, 41.85605, 41.86457, 41.78952, 41.783491, 41.84863, 41.99982, 41.89289, 41.94465, 41.98357, 41.71511, 41.69883, 41.68574, 41.79131, 41.6753, 41.841737, 41.87915, 41.870497, 41.89507, 41.813666",NA,NA
SiteLocations.csv,Longitude,numeric,NA,"-72.84733, -72.81403, -72.88134, -72.7831, -72.85377, -72.83469, -72.908991, -72.96285, -72.80647, -72.76891, -72.93655, -72.83904, -73.06669, -72.96734, -72.92793, -72.86663, -72.95822, -72.813648, -72.863559, -73.090084, -72.742038, -72.823582",NA,NA
SiteLocations.csv,Site Type,character,NA,"Stream, Mainstem",NA,NA
SiteLocations.csv,Site name,character,NA,"Thompson Brook, Russell Brook, Roaring Brook, Munnisunk Brook, Stratton Brook A, Stratton Brook B, Hawley Brook, Bunnell Brook, Powder Mill Brook, Quarry Brook, Ratlum Brook, West Branch Salmon Brook, Sandy Brook, Freeman Hill Brook, Birge Pond Brook, Page Park Pond, Chidsey Brook, Pequabuck River, Hop Brook, Burr Pond Brook, Farmington River at River Island, Farmington River at Alsop Meadows",NA,NA
SiteLocations.csv,"Town in CT, USA",character,NA,"Avon, Simsbury, Burlington, Suffield, Canton, Granby, Colebrook, Bristol, Torrington, East Granby",NA,NA
